date,employee,resident,visitor
Mon 01,0,8.416666667,0
Tue 02,0,11.2,0
Wed 03,0,11.43333333,0
Thurs 04,0.733333333,10.71666667,0.15
Fri 05,8.55,2.2,8.666666667
Sat 06,0,0.366666667,10.48333333
Sun 07,0,0.133333333,0
Mon 08,8.75,3.283333333,0
Tue 09,9.666666667,0,0
Wed 10,9.55,11.01666667,2.533333333
Thurs 11,0,2.75,0
Fri 12,0,1.883333333,0
Sat 13,0,0,0
Sun 14,0,0,0
Mon 15,0,0.15,0
Tue 16,9.133333333,0,4.433333333
Wed 17,9.483333333,0,5.4
Thurs 18,9.516666667,8.966666667,3.216666667
Fri 19,8.783333333,11,8.55
Sat 20,0,0,0.6
Sun 21,0,0,0
Mon 22,0,0,0
Tue 23,0,0,0
Wed 24,0,0,0
Thurs 25,0,0,4.116666667
Fri 26,0,0,9.966666667
Sat 27,0,0,14.9
Sun 28,0,0,3.1
