index,timestamp,date,trip,location_z,location_floor,group,trip_id,duration,level,space,duration_min
0,4/2/2021 15:58,2/4/2021,0,L1_SLL,1,Employee,Employee_0,0 days 00:10:00,L1,Service Lift,10
50,4/2/2021 16:08,2/4/2021,0,L1_Fish_pond,1,Employee,Employee_0,0 days 00:03:00,L1,Fish Pond,3
64,4/2/2021 16:11,2/4/2021,0,L8_RG,8,Employee,Employee_0,0 days 00:01:00,L8,Walkway,1
104,4/2/2021 16:12,2/4/2021,0,L6_CLL,6,Employee,Employee_0,0 days 00:01:00,L6,Main Lift Lobby,1
110,4/2/2021 16:13,2/4/2021,0,L6_walkway,6,Employee,Employee_0,0 days 00:01:00,L6,Walkway,1
114,4/2/2021 16:14,2/4/2021,0,L6_CLL,6,Employee,Employee_0,0 days 00:01:00,L6,Main Lift Lobby,1
158,4/2/2021 16:15,2/4/2021,0,L1_Fish_pond,1,Employee,Employee_0,0 days 00:01:00,L1,Fish Pond,1
182,4/2/2021 16:16,2/4/2021,0,L6_walkway,6,Employee,Employee_0,0 days 00:01:00,L6,Walkway,1
186,4/2/2021 16:17,2/4/2021,0,L6_SLL,6,Employee,Employee_0,0 days 00:01:00,L6,Service Lift,1
190,4/2/2021 16:18,2/4/2021,0,L1_SLL,1,Employee,Employee_0,0 days 00:04:00,L1,Service Lift,4
212,4/2/2021 16:22,2/4/2021,0,L1_CP,1,Employee,Employee_0,0 days 00:01:00,L1,Community Plaza,1
214,4/2/2021 16:23,2/4/2021,0,L1_Walkway,1,Employee,Employee_0,0 days 00:01:00,L1,Walkway,1
217,4/2/2021 16:24,2/4/2021,0,L2_CLL,2,Employee,Employee_0,0 days 00:01:00,L2,Main Lift Lobby,1
219,4/2/2021 16:25,2/4/2021,0,L6_CLL,6,Employee,Employee_0,0 days 00:01:00,L6,Main Lift Lobby,1
233,4/2/2021 16:26,2/4/2021,0,L6_walkway,6,Employee,Employee_0,0 days 00:04:00,L6,Walkway,4
242,4/2/2021 16:30,2/4/2021,0,L1_Fish_pond,1,Employee,Employee_0,0 days 00:01:00,L1,Fish Pond,1
244,4/2/2021 16:31,2/4/2021,0,L6_walkway,6,Employee,Employee_0,0 days 00:02:00,L6,Walkway,2
250,4/2/2021 16:33,2/4/2021,0,L6_CLL,6,Employee,Employee_0,0 days 00:02:00,L6,Main Lift Lobby,2
257,4/2/2021 16:35,2/4/2021,0,L7_SLL,7,Employee,Employee_0,0 days 00:02:00,L7,Service Lift,2
259,4/2/2021 16:37,2/4/2021,0,L1_SLL,1,Employee,Employee_0,0 days 00:03:00,L1,Service Lift,3
268,4/2/2021 16:40,2/4/2021,0,L1_Ent_1,1,Employee,Employee_0,0 days 00:02:00,L1,Main Entrance,2
284,5/2/2021 8:56,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
290,5/2/2021 8:57,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
294,5/2/2021 8:58,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
301,5/2/2021 8:59,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
304,5/2/2021 9:00,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
308,5/2/2021 9:01,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
318,5/2/2021 9:02,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
323,5/2/2021 9:03,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
334,5/2/2021 9:04,2/5/2021,1,L1_CP,1,Employee,Employee_1,0 days 00:01:00,L1,Community Plaza,1
335,5/2/2021 9:05,2/5/2021,1,L2_FC,2,Employee,Employee_1,0 days 00:45:00,L2,Food Court,45
562,5/2/2021 9:50,2/5/2021,1,L1_Ent_1,1,Employee,Employee_1,0 days 00:01:00,L1,Main Entrance,1
570,5/2/2021 9:51,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
574,5/2/2021 9:52,2/5/2021,1,L1_Fish_pond,1,Employee,Employee_1,0 days 00:01:00,L1,Fish Pond,1
578,5/2/2021 9:53,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
583,5/2/2021 9:54,2/5/2021,1,L1_Fish_pond,1,Employee,Employee_1,0 days 00:01:00,L1,Fish Pond,1
587,5/2/2021 9:55,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
591,5/2/2021 9:56,2/5/2021,1,L1_Fish_pond,1,Employee,Employee_1,0 days 00:01:00,L1,Fish Pond,1
597,5/2/2021 9:57,2/5/2021,1,L1_Fish_pond,1,Employee,Employee_1,0 days 00:01:00,L1,Fish Pond,1
598,5/2/2021 9:58,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
600,5/2/2021 9:59,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
606,5/2/2021 10:00,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:03:00,L1,Service Lift,3
611,5/2/2021 10:03,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:04:00,L1,Service Lift,4
620,5/2/2021 10:07,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
622,5/2/2021 10:08,2/5/2021,1,L1_Fish_pond,1,Employee,Employee_1,0 days 00:01:00,L1,Fish Pond,1
624,5/2/2021 10:09,2/5/2021,1,L1_Fish_pond,1,Employee,Employee_1,0 days 00:01:00,L1,Fish Pond,1
626,5/2/2021 10:10,2/5/2021,1,L1_Fish_pond,1,Employee,Employee_1,0 days 00:01:00,L1,Fish Pond,1
628,5/2/2021 10:11,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
631,5/2/2021 10:12,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
634,5/2/2021 10:13,2/5/2021,1,L1_SLL,1,Employee,Employee_1,0 days 00:01:00,L1,Service Lift,1
642,5/2/2021 10:31,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
648,5/2/2021 10:32,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
654,5/2/2021 10:33,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
660,5/2/2021 10:34,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
664,5/2/2021 10:35,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
667,5/2/2021 10:36,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
671,5/2/2021 10:37,2/5/2021,2,L1_Fish_pond,1,Employee,Employee_2,0 days 00:01:00,L1,Fish Pond,1
678,5/2/2021 10:38,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
683,5/2/2021 10:39,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
689,5/2/2021 10:40,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
692,5/2/2021 10:41,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
695,5/2/2021 10:42,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
698,5/2/2021 10:43,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:02:00,L1,Service Lift,2
702,5/2/2021 10:45,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
707,5/2/2021 10:46,2/5/2021,2,L1_Fish_pond,1,Employee,Employee_2,0 days 00:30:00,L1,Fish Pond,30
741,5/2/2021 11:16,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
744,5/2/2021 11:17,2/5/2021,2,L1_Fish_pond,1,Employee,Employee_2,0 days 00:01:00,L1,Fish Pond,1
747,5/2/2021 11:18,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
753,5/2/2021 11:19,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
758,5/2/2021 11:20,2/5/2021,2,L1_Fish_pond,1,Employee,Employee_2,0 days 00:01:00,L1,Fish Pond,1
761,5/2/2021 11:21,2/5/2021,2,L1_Fish_pond,1,Employee,Employee_2,0 days 00:01:00,L1,Fish Pond,1
766,5/2/2021 11:22,2/5/2021,2,L1_Fish_pond,1,Employee,Employee_2,0 days 00:01:00,L1,Fish Pond,1
771,5/2/2021 11:23,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
777,5/2/2021 11:24,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
781,5/2/2021 11:25,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
785,5/2/2021 11:26,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
790,5/2/2021 11:27,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
796,5/2/2021 11:28,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
800,5/2/2021 11:29,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
803,5/2/2021 11:30,2/5/2021,2,L1_Fish_pond,1,Employee,Employee_2,0 days 00:01:00,L1,Fish Pond,1
806,5/2/2021 11:31,2/5/2021,2,L1_Fish_pond,1,Employee,Employee_2,0 days 00:01:00,L1,Fish Pond,1
817,5/2/2021 11:32,2/5/2021,2,L1_Fish_pond,1,Employee,Employee_2,0 days 00:01:00,L1,Fish Pond,1
821,5/2/2021 11:33,2/5/2021,2,L1_Fish_pond,1,Employee,Employee_2,0 days 00:01:00,L1,Fish Pond,1
827,5/2/2021 11:34,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
831,5/2/2021 11:35,2/5/2021,2,L1_Fish_pond,1,Employee,Employee_2,0 days 00:01:00,L1,Fish Pond,1
835,5/2/2021 11:36,2/5/2021,2,L1_Fish_pond,1,Employee,Employee_2,0 days 00:01:00,L1,Fish Pond,1
836,5/2/2021 11:37,2/5/2021,2,L1_SLL,1,Employee,Employee_2,0 days 00:01:00,L1,Service Lift,1
845,5/2/2021 11:38,2/5/2021,2,L1_Ent_1,1,Employee,Employee_2,0 days 00:01:00,L1,Main Entrance,1
847,5/2/2021 11:39,2/5/2021,2,L1_CP,1,Employee,Employee_2,0 days 00:03:00,L1,Community Plaza,3
857,5/2/2021 11:42,2/5/2021,2,L1_Ent_3,1,Employee,Employee_2,0 days 00:01:00,L1,Entrance near Residential Lift Lobby 2,1
860,5/2/2021 12:09,2/5/2021,3,L1_PG,1,Employee,Employee_3,0 days 00:02:00,L1,Playground,2
870,5/2/2021 12:11,2/5/2021,3,L1_SLL,1,Employee,Employee_3,0 days 00:01:00,L1,Service Lift,1
878,5/2/2021 12:12,2/5/2021,3,L1_SLL,1,Employee,Employee_3,0 days 00:01:00,L1,Service Lift,1
888,5/2/2021 12:13,2/5/2021,3,L2_FC,2,Employee,Employee_3,0 days 00:02:00,L2,Food Court,2
906,5/2/2021 12:15,2/5/2021,3,L2_FC,2,Employee,Employee_3,0 days 00:05:00,L2,Food Court,5
926,5/2/2021 12:20,2/5/2021,3,L2_CLL,2,Employee,Employee_3,0 days 00:01:00,L2,Main Lift Lobby,1
927,5/2/2021 12:21,2/5/2021,3,L2_FC,2,Employee,Employee_3,0 days 00:01:00,L2,Food Court,1
